district,age_group,child_population,program_count,available_count,closed_count,programs_per_1000_children,category_diversity,availability_share,low_cost_share,indoor_share,local_alt_count,neighbor_alt_count,paid_share,reservation_dependency,age_restriction_intensity,rule_complexity,count_scaled,per1000_scaled,diversity_scaled,local_alt_scaled,neighbor_alt_scaled,choice_index,planb_index,barrier_index,district_type
노원구,10-12세,4583,166,53,102,36.22081605934977,23,0.3192771084337349,1.0,0.4397590361445783,53,154,0.024096385542168676,1.0,0.012048192771084338,0.5810240963855422,0.11691542288557213,0.1344447911458782,0.15384615384615385,0.20869565217391303,0.17337461300309598,31.094412262960162,33.34399582030244,40.4894578313253,D 선택 부족 / 플랜B 부족
은평구,10-12세,4606,178,41,132,38.64524533217542,20,0.2303370786516854,1.0,0.3707865168539326,41,185,0.0,1.0,0.033707865168539325,0.4485955056179775,0.1318407960199005,0.14591198074621256,0.038461538461538464,0.10434782608695652,0.2693498452012384,28.461622527500523,29.67070828853684,36.889044943820224,D 선택 부족 / 플랜B 부족
서대문구,10-12세,9279,144,41,101,15.518913676042677,20,0.2847222222222222,0.9861111111111112,0.0625,41,314,0.041666666666666664,1.0,0.0,0.6434027777777778,0.08955223880597014,0.03652787421296326,0.038461538461538464,0.10434782608695652,0.6687306501547987,22.257936614250337,36.364029910503184,42.33506944444444,D 선택 부족 / 플랜B 부족
마포구,10-12세,5955,338,144,176,56.75902602854744,45,0.4260355029585799,1.0,0.31952662721893493,144,290,0.0029585798816568047,1.0,0.005917159763313609,0.7576923076923078,0.3308457711442786,0.23158746732457988,1.0,1.0,0.5944272445820433,52.01274378259511,83.05594738674043,44.14940828402367,A 선택 풍부 / 플랜B 풍부
양천구,10-12세,8881,134,73,58,15.088390946965431,25,0.5447761194029851,1.0,0.31343283582089554,73,211,0.014925373134328358,1.0,0.0,0.8059701492537313,0.07711442786069651,0.03449156578486534,0.23076923076923078,0.3826086956521739,0.3498452012383901,30.046892165295468,43.733301198533255,45.59701492537314,C 선택 부족 / 플랜B 보완 가능
강서구,10-12세,13047,153,75,70,11.726833754886181,27,0.49019607843137253,1.0,0.48366013071895425,75,292,0.006535947712418301,1.0,0.0,0.8513071895424836,0.10074626865671642,0.018591900611703367,0.3076923076923077,0.4,0.6006191950464397,32.748172778823445,53.46746579873515,46.47875816993464,A 선택 풍부 / 플랜B 풍부
구로구,10-12세,6999,184,75,102,26.289469924274897,26,0.4076086956521739,1.0,0.2554347826086957,75,241,0.021739130434782608,1.0,0.005434782608695652,0.7032608695652173,0.13930348258706468,0.08747100214162314,0.2692307692307692,0.4,0.44272445820433437,31.597420841514634,46.66092081965685,43.34239130434783,C 선택 부족 / 플랜B 보완 가능
금천구,10-12세,3422,92,32,58,26.884862653419052,27,0.34782608695652173,1.0,0.3695652173913043,32,105,0.021739130434782608,1.0,0.010869565217391304,0.576086956521739,0.024875621890547265,0.09028712113023739,0.3076923076923077,0.02608695652173913,0.021671826625386997,29.341308738184047,24.765875933193204,40.27173913043478,D 선택 부족 / 플랜B 부족
영등포구,10-12세,7695,153,61,92,19.883040935672515,33,0.39869281045751637,1.0,0.2875816993464052,61,355,0.0196078431372549,1.0,0.013071895424836602,0.6941176470588235,0.10074626865671642,0.057169546579770185,0.5384615384615384,0.2782608695652174,0.7956656346749226,34.10544716625919,55.58351137204281,43.20261437908496,A 선택 풍부 / 플랜B 풍부
동작구,10-12세,6754,136,63,67,20.136215575954992,30,0.4632352941176471,1.0,0.22058823529411764,63,256,0.0,1.0,0.0,0.7897058823529411,0.07960199004975124,0.05836702494494929,0.4230769230769231,0.2956521739130435,0.4891640866873065,31.739789340663016,46.128964453234204,44.74264705882353,A 선택 풍부 / 플랜B 풍부
관악구,10-12세,12977,126,30,96,9.709486013716576,21,0.23809523809523808,1.0,0.3888888888888889,30,188,0.0,1.0,0.015873015873015872,0.69047619047619,0.06716417910447761,0.009050146064730553,0.07692307692307693,0.008695652173913044,0.2786377708978328,24.619615718116364,27.31302714126782,42.57936507936507,D 선택 부족 / 플랜B 부족
서초구,10-12세,9023,336,93,240,37.23816912335143,32,0.2767857142857143,0.9851190476190477,0.34523809523809523,93,194,0.19345238095238096,1.0,0.011904761904761904,0.5473214285714286,0.3283582089552239,0.1392567197123863,0.5,0.5565217391304348,0.29721362229102166,41.13290447242825,52.63776809350743,44.72470238095239,A 선택 풍부 / 플랜B 풍부
강남구,10-12세,11251,127,29,81,11.287885521286997,21,0.2283464566929134,0.984251968503937,0.2204724409448819,29,246,0.07874015748031496,1.0,0.0,0.5444881889763774,0.06840796019900497,0.01651574080129685,0.07692307692307693,0.0,0.4582043343653251,22.78836827977925,29.57745844998716,40.97440944881888,D 선택 부족 / 플랜B 부족
송파구,10-12세,11039,252,76,166,22.8281547241598,32,0.30158730158730157,0.9880952380952381,0.4087301587301587,76,174,0.03968253968253968,1.0,0.003968253968253968,0.6621031746031747,0.22388059701492538,0.0710994964387659,0.5,0.40869565217391307,0.23529411764705882,37.563011013826255,46.59543092599359,42.82242063492064,A 선택 풍부 / 플랜B 풍부
강동구,10-12세,4919,133,81,49,27.03801585688148,26,0.6090225563909775,1.0,0.24060150375939848,81,140,0.0,1.0,0.0,0.9071428571428571,0.07587064676616916,0.09101151298678158,0.2692307692307692,0.45217391304347826,0.13003095975232198,31.631051802686,40.52133752638531,47.67857142857142,B 선택 풍부 / 플랜B 부족
종로구,4-6세,3687,740,118,612,200.70518036343913,34,0.15945945945945947,0.9932432432432432,0.3945945945945946,118,194,0.02027027027027027,1.0,0.032432432432432434,0.4352027027027027,1.0,1.0,0.5925925925925926,0.743801652892562,0.2716049382716049,79.32807807807808,60.556664791513285,37.13682432432432,A 선택 풍부 / 플랜B 풍부
중구,4-6세,6438,466,121,344,72.38272755514134,40,0.259656652360515,0.9914163090128756,0.31759656652360513,121,279,0.030042918454935622,1.0,0.012875536480686695,0.5313304721030042,0.5873493975903614,0.3250216084857543,0.8148148148148148,0.768595041322314,0.5339506172839507,56.986913143682486,70.51902440103116,39.44206008583691,A 선택 풍부 / 플랜B 풍부
용산구,4-6세,3311,194,72,109,58.59257022047719,31,0.3711340206185567,1.0,0.1958762886597938,72,430,0.0,1.0,0.015463917525773196,0.7219072164948455,0.17771084337349397,0.2524851348385011,0.48148148148148145,0.36363636363636365,1.0,38.27335331298056,61.90825783609289,43.3569587628866,A 선택 풍부 / 플랜B 풍부
성동구,4-6세,8552,240,89,151,28.06361085126286,33,0.37083333333333335,0.9583333333333334,0.2791666666666667,89,255,0.11666666666666667,1.0,0.11666666666666667,0.6154166666666666,0.2469879518072289,0.0919022638079719,0.5555555555555556,0.5041322314049587,0.45987654320987653,38.45601716370964,54.64154167942047,46.21875,A 선택 풍부 / 플랜B 풍부
광진구,4-6세,5729,225,72,149,39.27386978530285,35,0.32,1.0,0.18666666666666668,72,299,0.0044444444444444444,1.0,0.1111111111111111,0.6071111111111109,0.22439759036144577,0.15086842583310447,0.6296296296296297,0.36363636363636365,0.595679012345679,39.260407338616574,53.93035914702582,42.53333333333333,A 선택 풍부 / 플랜B 풍부
동대문구,4-6세,6069,76,34,41,12.522656121272037,22,0.4473684210526316,1.0,0.4473684210526316,34,232,0.013157894736842105,1.0,0.05263157894736842,0.632236842105263,0.0,0.010156564620661728,0.14814814814814814,0.049586776859504134,0.3888888888888889,26.372721935688087,33.1536658450534,42.253289473684205,D 선택 부족 / 플랜B 부족
중랑구,4-6세,8686,92,39,53,10.591756850103614,18,0.42391304347826086,1.0,0.5652173913043478,39,162,0.010869565217391304,1.0,0.043478260869565216,0.6538043478260869,0.024096385542168676,0.0,0.0,0.09090909090909091,0.1728395061728395,25.614195914091148,28.154979749182647,42.54076086956521,D 선택 부족 / 플랜B 부족
성북구,4-6세,6541,117,32,73,17.887173215104724,20,0.27350427350427353,1.0,0.47863247863247865,32,203,0.008547008547008548,1.0,0.008547008547008548,0.733333333333333,0.061746987951807226,0.03837402025685668,0.07407407407407407,0.03305785123966942,0.2993827160493827,26.25236867616998,29.539028592058898,43.76068376068375,D 선택 부족 / 플랜B 부족
강북구,4-6세,3314,121,51,70,36.51176825588413,25,0.4214876033057851,0.9834710743801653,0.2975206611570248,51,166,0.10743801652892562,1.0,0.09090909090909091,0.6132231404958675,0.0677710843373494,0.1363397225023532,0.25925925925925924,0.19008264462809918,0.18518518518518517,30.590964629387013,32.89868380777472,45.37190082644628,D 선택 부족 / 플랜B 부족
도봉구,4-6세,9597,147,78,57,15.317286652078774,27,0.5306122448979592,0.9931972789115646,0.5714285714285714,78,107,0.006802721088435374,1.0,0.027210884353741496,0.7965986394557822,0.10692771084337349,0.024856371079150483,0.3333333333333333,0.4132231404958678,0.0030864197530864196,34.623326093822996,40.15221530914172,45.663265306122454,B 선택 풍부 / 플랜B 부족
노원구,4-6세,4233,187,56,120,44.17670682730924,23,0.2994652406417112,1.0,0.45454545454545453,56,168,0.0053475935828877,1.0,0.12299465240641712,0.6072192513368984,0.16716867469879518,0.17665743615862983,0.18518518518518517,0.23140495867768596,0.19135802469135801,33.86609369378589,35.20635649423529,42.80080213903743,B 선택 풍부 / 플랜B 부족
은평구,4-6세,3880,187,42,140,48.1958762886598,19,0.22459893048128343,1.0,0.37433155080213903,42,190,0.0,1.0,0.06417112299465241,0.4438502673796791,0.16716867469879518,0.19779833924203907,0.037037037037037035,0.11570247933884298,0.25925925925925924,30.51588739419441,29.829939321917927,37.37967914438502,D 선택 부족 / 플랜B 부족
서대문구,4-6세,8145,144,41,101,17.679558011049725,20,0.2847222222222222,0.9861111111111112,0.0625,41,309,0.041666666666666664,1.0,0.0,0.6434027777777778,0.10240963855421686,0.03728196057891166,0.07407407407407407,0.10743801652892562,0.6265432098765432,23.19292836820474,35.95168860320375,42.33506944444444,D 선택 부족 / 플랜B 부족
