district,week,program_count,available_count,low_cost_share,indoor_share,category_diversity,age_group,availability_share,count_scaled,diversity_scaled,choice_index
중구,40,9,0,1.0,0.1111111111111111,7,10-12세,0.0,0.18,0.4666666666666667,31.74444444444444
중구,41,7,0,1.0,0.0,4,10-12세,0.0,0.14,0.26666666666666666,25.233333333333334
중구,42,11,0,1.0,0.18181818181818182,3,10-12세,0.0,0.22,0.2,28.51818181818182
중구,43,7,0,1.0,0.14285714285714285,5,10-12세,0.0,0.14,0.3333333333333333,27.995238095238093
중구,44,9,0,1.0,0.1111111111111111,5,10-12세,0.0,0.18,0.3333333333333333,29.077777777777776
중구,45,10,0,0.9,0.3,6,10-12세,0.0,0.2,0.4,31.500000000000007
중구,46,10,0,1.0,0.5,6,10-12세,0.0,0.2,0.4,35.0
중구,47,9,0,1.0,0.2222222222222222,4,10-12세,0.0,0.18,0.26666666666666666,28.855555555555558
중구,48,4,1,1.0,0.0,4,10-12세,0.25,0.08,0.26666666666666666,28.133333333333333
중구,49,7,0,1.0,0.5714285714285714,5,10-12세,0.0,0.14,0.3333333333333333,32.280952380952385
중구,50,5,0,0.8,0.4,1,10-12세,0.0,0.1,0.06666666666666667,20.833333333333336
중구,51,11,0,1.0,0.2727272727272727,6,10-12세,0.0,0.22,0.4,33.42727272727273
중구,52,5,0,0.8,0.2,3,10-12세,0.0,0.1,0.2,21.5
용산구,1,11,8,1.0,1.0,3,10-12세,0.7272727272727273,0.22,0.2,51.24545454545455
용산구,2,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,3,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,4,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,5,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,6,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
용산구,7,2,0,1.0,0.0,1,10-12세,0.0,0.04,0.06666666666666667,17.73333333333333
용산구,8,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
용산구,9,1,1,1.0,0.0,1,10-12세,1.0,0.02,0.06666666666666667,37.03333333333333
용산구,10,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
용산구,11,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,12,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,13,5,5,1.0,0.2,4,10-12세,1.0,0.1,0.26666666666666666,45.833333333333336
용산구,14,3,0,1.0,0.0,2,10-12세,0.0,0.06,0.13333333333333333,19.766666666666666
용산구,15,3,2,1.0,0.0,2,10-12세,0.6666666666666666,0.06,0.13333333333333333,33.1
용산구,16,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
용산구,17,4,3,1.0,0.0,4,10-12세,0.75,0.08,0.26666666666666666,38.13333333333333
용산구,18,48,16,1.0,0.020833333333333332,6,10-12세,0.3333333333333333,0.96,0.4,63.474999999999994
용산구,19,11,4,1.0,0.0,5,10-12세,0.36363636363636365,0.22,0.3333333333333333,36.63939393939394
용산구,20,9,6,1.0,0.5555555555555556,5,10-12세,0.6666666666666666,0.18,0.3333333333333333,46.855555555555554
용산구,21,3,1,1.0,0.3333333333333333,2,10-12세,0.3333333333333333,0.06,0.13333333333333333,29.76666666666667
용산구,22,3,1,1.0,0.3333333333333333,3,10-12세,0.3333333333333333,0.06,0.2,31.100000000000005
용산구,23,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,24,3,1,1.0,0.3333333333333333,3,10-12세,0.3333333333333333,0.06,0.2,31.100000000000005
용산구,25,2,1,1.0,0.5,2,10-12세,0.5,0.04,0.13333333333333333,34.06666666666667
용산구,26,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
용산구,27,3,0,1.0,0.3333333333333333,2,10-12세,0.0,0.06,0.13333333333333333,23.099999999999998
용산구,28,3,0,1.0,0.0,3,10-12세,0.0,0.06,0.2,21.099999999999998
용산구,29,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
용산구,30,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
용산구,31,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
용산구,32,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
용산구,33,3,0,1.0,0.0,3,10-12세,0.0,0.06,0.2,21.099999999999998
용산구,34,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
용산구,35,3,1,1.0,0.3333333333333333,2,10-12세,0.3333333333333333,0.06,0.13333333333333333,29.76666666666667
용산구,36,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
용산구,37,3,0,1.0,0.0,2,10-12세,0.0,0.06,0.13333333333333333,19.766666666666666
용산구,38,3,0,1.0,0.0,2,10-12세,0.0,0.06,0.13333333333333333,19.766666666666666
용산구,39,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
용산구,40,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
용산구,41,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
용산구,42,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
용산구,43,3,0,1.0,0.0,3,10-12세,0.0,0.06,0.2,21.099999999999998
용산구,44,3,1,1.0,0.3333333333333333,3,10-12세,0.3333333333333333,0.06,0.2,31.100000000000005
용산구,45,1,1,1.0,1.0,1,10-12세,1.0,0.02,0.06666666666666667,47.033333333333324
용산구,46,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
용산구,47,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
용산구,48,2,0,1.0,0.5,1,10-12세,0.0,0.04,0.06666666666666667,22.73333333333333
용산구,49,19,17,1.0,0.0,6,10-12세,0.8947368421052632,0.38,0.4,54.19473684210527
용산구,50,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
용산구,51,6,3,1.0,0.0,1,10-12세,0.5,0.12,0.06666666666666667,30.533333333333335
용산구,52,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
성동구,1,6,6,1.0,0.16666666666666666,6,10-12세,1.0,0.12,0.4,48.86666666666667
성동구,2,2,1,1.0,0.5,2,10-12세,0.5,0.04,0.13333333333333333,34.06666666666667
성동구,3,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
성동구,4,1,1,1.0,1.0,1,10-12세,1.0,0.02,0.06666666666666667,47.033333333333324
성동구,5,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
성동구,6,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
성동구,7,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
성동구,8,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
성동구,9,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
성동구,10,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
성동구,11,2,1,1.0,0.0,2,10-12세,0.5,0.04,0.13333333333333333,29.06666666666667
성동구,12,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
성동구,13,4,1,0.75,0.25,4,10-12세,0.25,0.08,0.26666666666666666,26.883333333333333
성동구,14,8,5,1.0,0.25,5,10-12세,0.625,0.16,0.3333333333333333,42.266666666666666
성동구,15,5,1,1.0,0.4,5,10-12세,0.2,0.1,0.3333333333333333,33.166666666666664
성동구,16,4,2,1.0,0.0,3,10-12세,0.5,0.08,0.2,31.800000000000004
성동구,17,14,10,0.9285714285714286,0.07142857142857142,8,10-12세,0.7142857142857143,0.28,0.5333333333333333,49.3952380952381
성동구,18,8,6,1.0,0.0,7,10-12세,0.75,0.16,0.4666666666666667,44.93333333333333
성동구,19,9,7,0.8888888888888888,0.0,5,10-12세,0.7777777777777778,0.18,0.3333333333333333,41.855555555555554
성동구,20,24,14,1.0,0.08333333333333333,8,10-12세,0.5833333333333334,0.48,0.5333333333333333,54.96666666666666
성동구,21,5,2,1.0,0.4,4,10-12세,0.4,0.1,0.26666666666666666,35.83333333333334
성동구,22,4,4,1.0,0.5,3,10-12세,1.0,0.08,0.2,46.8
성동구,23,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
성동구,24,3,0,0.6666666666666666,0.0,3,10-12세,0.0,0.06,0.2,16.1
성동구,25,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
성동구,26,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
성동구,27,1,0,0.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,2.0333333333333337
성동구,28,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
성동구,29,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
성동구,30,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
성동구,31,2,0,0.5,0.0,2,10-12세,0.0,0.04,0.13333333333333333,11.566666666666666
성동구,32,2,0,0.5,0.0,2,10-12세,0.0,0.04,0.13333333333333333,11.566666666666666
성동구,33,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
성동구,34,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
성동구,35,3,0,0.6666666666666666,0.3333333333333333,2,10-12세,0.0,0.06,0.13333333333333333,18.099999999999998
성동구,36,3,0,1.0,0.0,2,10-12세,0.0,0.06,0.13333333333333333,19.766666666666666
성동구,37,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
성동구,38,2,0,1.0,0.0,1,10-12세,0.0,0.04,0.06666666666666667,17.73333333333333
성동구,39,9,0,1.0,0.5555555555555556,5,10-12세,0.0,0.18,0.3333333333333333,33.52222222222222
성동구,40,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
성동구,41,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
성동구,42,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
성동구,43,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
성동구,44,3,0,1.0,0.0,3,10-12세,0.0,0.06,0.2,21.099999999999998
성동구,45,5,0,1.0,0.2,5,10-12세,0.0,0.1,0.3333333333333333,27.166666666666668
성동구,46,5,0,0.8,0.2,5,10-12세,0.0,0.1,0.3333333333333333,24.166666666666664
성동구,47,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
성동구,48,13,10,1.0,0.7692307692307693,8,10-12세,0.7692307692307693,0.26,0.5333333333333333,57.84358974358974
성동구,49,9,5,1.0,0.0,4,10-12세,0.5555555555555556,0.18,0.26666666666666666,37.74444444444445
성동구,50,3,0,0.6666666666666666,0.0,3,10-12세,0.0,0.06,0.2,16.1
성동구,51,4,0,1.0,0.25,4,10-12세,0.0,0.08,0.26666666666666666,25.63333333333333
성동구,52,4,1,1.0,0.0,3,10-12세,0.25,0.08,0.2,26.8
광진구,1,6,4,1.0,0.8333333333333334,3,10-12세,0.6666666666666666,0.12,0.2,44.866666666666674
광진구,2,3,0,1.0,0.3333333333333333,2,10-12세,0.0,0.06,0.13333333333333333,23.099999999999998
광진구,3,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
광진구,4,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
광진구,5,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
광진구,6,5,0,1.0,0.0,3,10-12세,0.0,0.1,0.2,22.5
광진구,7,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
광진구,8,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
광진구,9,1,1,1.0,1.0,1,10-12세,1.0,0.02,0.06666666666666667,47.033333333333324
광진구,10,2,1,1.0,0.0,2,10-12세,0.5,0.04,0.13333333333333333,29.06666666666667
광진구,11,4,2,1.0,0.25,3,10-12세,0.5,0.08,0.2,34.30000000000001
광진구,12,2,1,1.0,0.0,2,10-12세,0.5,0.04,0.13333333333333333,29.06666666666667
광진구,13,3,1,1.0,0.6666666666666666,3,10-12세,0.3333333333333333,0.06,0.2,34.43333333333334
